,price,unitOfMeasure,sellByWeight,aisleName,name,prop65WarningIconRequired,departmentName,pid,aisleId,upc,restrictedValue,displayType,basePrice,averageWeight,pricePer,salesRank,shelfName,id,featured,inventoryAvailable,pastPurchased,isArProduct,unitQuantity,displayEstimateText,displayUnitQuantityText,promoEndDate,isMtoProduct,preparationTime,channelEligibility.delivery,channelEligibility.inStore,channelEligibility.pickUp,channelInventory.delivery,channelInventory.pickup,channelInventory.instore,promoDescription,promoType
0,0.36,LB,W,Fresh Fruits|1_23_1,Banana - Each,False,Fruits & Vegetables,184060007,1_23_1_3,0048406000701,0,1,0.36,['0.41'],0.89,1,Bananas,184060007,False,1,False,False,LB,approx,ea,,False,0,True,True,True,1,1,1,,
1,1.32,LB,W,Fresh Vegetables & Herbs|1_23_2,On The Vine Red Tomato,False,Fruits & Vegetables,184570092,1_23_2_20,0048457009201,0,1,1.32,['0.33'],3.99,12,Tomatoes,184570092,False,1,False,False,LB,approx,ea,,False,0,True,True,True,1,1,1,,
2,3.99,LB,I,Packaged Produce|1_23_4,Signature Farms Baby Peeled Carrots 2 Lb Bag,False,Fruits & Vegetables,184660324,1_23_4_4,0002113098336,0,-1,3.99,['0.00'],2.0,129,Packaged Vegetables,184660324,False,1,False,False,LB,,ea,,False,0,True,True,True,1,1,1,,
3,1.28,LB,W,Fresh Vegetables & Herbs|1_23_2,Russet Potatoes,False,Fruits & Vegetables,184500022,1_23_2_16,0048450006901,0,1,1.28,['0.86'],1.49,18,Potatoes & Yams,184500022,False,1,False,False,LB,approx,ea,,False,0,True,True,True,1,1,1,,
4,1.49,LB,W,Fresh Vegetables & Herbs|1_23_2,Yellow Onion,False,Fruits & Vegetables,184450054,1_23_2_14,0048445004401,0,1,1.49,['0.75'],1.99,15,Onions & Garlic,184450054,False,1,False,False,LB,approx,ea,,False,0,True,True,True,1,1,1,,
5,4.23,LB,W,Fresh Vegetables & Herbs|1_23_2,Organic Butternut Squash,False,Fruits & Vegetables,184710120,1_23_2_18,0048471012001,0,1,4.23,['2.50'],1.69,4062,Squash,184710120,False,1,False,False,LB,approx,ea,,False,0,True,True,True,1,1,1,,
6,1.0,LB,W,Fresh Vegetables & Herbs|1_23_2,Green Zucchini Squash,False,Fruits & Vegetables,184560105,1_23_2_18,0048456010501,0,1,1.2,['0.40'],2.49,13,Squash,184560105,False,1,False,False,LB,approx,ea,2022-04-26T23:59:00,False,0,True,True,True,1,1,1,Safeway Club Price: $2.49 lb&lt;BR&gt;SAVE up to: $0.5 lb,P
7,2.49,EA,I,Fresh Vegetables & Herbs|1_23_2,Iceberg Lettuce,False,Fruits & Vegetables,184420001,1_23_2_12,0003338365020,0,1,2.49,['1.50'],2.49,42,Lettuce & Greens,184420001,False,1,False,False,EACH,,ea,,False,0,True,True,True,1,1,1,,
8,1.67,LB,W,Fresh Vegetables & Herbs|1_23_2,Yellow Squash,False,Fruits & Vegetables,184560100,1_23_2_18,0048456010001,0,1,2.0,['0.67'],2.49,127,Squash,184560100,False,1,False,False,LB,approx,ea,2022-04-26T23:59:00,False,0,True,True,True,1,1,1,Safeway Club Price: $2.49 lb&lt;BR&gt;SAVE up to: $0.5 lb,P
9,5.99,OZ,I,Packaged Produce|1_23_4,Signature Farms Green Beans - 24 Oz,False,Fruits & Vegetables,960479443,1_23_4_4,0002113070285,0,-1,5.99,['0.00'],0.25,613,Packaged Vegetables,960479443,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
